mission_time_S,MOOStime_S,metric_total_dist_M,metric_mean_dist_M,deploy
start_MOOStime_S
14599.82256507874,8621344650.573606,311.6093867,15.58046934,1
14604.82880401611,8621344655.579845,310.2678998,15.51339499,1
14609.9139289856,8621344660.66497,309.6808598,15.48404299,1
14614.92052650452,8621344665.671568,309.4603455,15.47301728,1
14619.94029426575,8621344670.691336,305.7495886,15.28747943,1
14624.94663619995,8621344675.697678,298.4927894,14.92463947,1
14630.07887840271,8621344680.82992,289.7230665,14.48615333,1
14635.32984352112,8621344686.080885,281.2351947,14.06175973,1
14640.33612442017,8621344691.087166,273.4653345,13.67326672,1
14645.34440231323,8621344696.095438,270.0751428,13.50375714,1
14650.35134887695,8621344701.10239,264.8990633,13.24495316,1
14655.35711860657,8621344706.10816,264.9075055,13.24537528,1
14660.37177467346,8621344711.122816,267.7402498,13.38701249,1
14665.38743972778,8621344716.138481,270.9208849,13.54604424,1
14670.41316604614,8621344721.164207,277.5844789,13.87922394,1
14675.41934204102,8621344726.170383,282.3055886,14.11527943,1
14680.42579650879,8621344731.176838,287.4548653,14.37274327,1
14685.68222808838,8621344736.43327,293.3942241,14.6697112,1
14691.24880599976,8621344741.999847,297.1406749,14.85703375,1
14696.51020050049,8621344747.261242,301.4889783,15.07444891,1
14701.53886032104,8621344752.289902,305.0264335,15.25132168,1
14706.5805644989,8621344757.331606,308.9793782,15.44896891,1
14711.61763572693,8621344762.368677,310.7408141,15.5370407,1
14716.62624359131,8621344767.377285,312.1427223,15.60713611,1
14721.64244842529,8621344772.39349,312.9827287,15.64913643,1
14726.67721176147,8621344777.428253,314.17319,15.7086595,1
14731.6970615387,8621344782.448103,315.3438248,15.76719124,1
14736.74199295044,8621344787.493034,316.1883354,15.80941677,1
14741.76163673401,8621344792.512678,317.1663881,15.8583194,1
14746.79393196106,8621344797.544973,318.3234223,15.91617111,1
14751.80028915405,8621344802.551327,319.5962882,15.97981441,1
14756.80724906921,8621344807.55829,318.7549428,15.93774714,1
14761.97078895569,8621344812.72183,313.0698197,15.65349099,1
14766.9768409729,8621344817.727882,306.0922505,15.30461252,1
14772.00269889832,8621344822.75374,298.6024765,14.93012382,1
14777.54046440125,8621344828.291506,295.9846212,14.79923106,1
14782.57860374451,8621344833.329645,296.6939982,14.83469991,1
14787.58950424194,8621344838.340546,296.4619972,14.82309986,1
14792.62902450562,8621344843.380066,297.2881766,14.86440883,1
14797.75805282593,8621344848.509087,297.3934939,14.86967469,1
14802.76412200928,8621344853.515163,298.3314746,14.91657373,1
14807.7726650238,8621344858.523706,297.4895577,14.87447789,1
14812.78522109985,8621344863.536263,297.0963986,14.85481993,1
14817.79486656189,8621344868.545908,291.7443334,14.58721667,1
14822.80657196045,8621344873.557613,289.3058711,14.46529356,1
14827.86438369751,8621344878.615425,287.9405828,14.39702914,1
14832.95708274841,8621344883.708118,290.1465606,14.50732803,1
14837.96429252625,8621344888.715334,293.0448326,14.65224163,1
14842.97153282166,8621344893.722574,298.5208255,14.92604127,1
14847.9784488678,8621344898.72949,304.4952511,15.22476256,1
14852.98645019531,8621344903.737492,307.8701767,15.39350883,1
14857.99332427979,8621344908.744366,309.1164062,15.45582031,1
14862.99992179871,8621344913.750963,309.8181998,15.49090999,1
14868.00745582581,8621344918.758497,310.3176851,15.51588426,1
14873.02511787415,8621344923.776159,305.1287656,15.25643828,1
14878.03175354004,8621344928.782795,301.3282318,15.06641159,1
14883.06475067139,8621344933.815792,298.9794646,14.94897323,1
14888.10378456116,8621344938.854826,299.3503439,14.9675172,1
14893.12598800659,8621344943.877029,302.0922454,15.10461227,1
14898.15737915039,8621344948.908421,306.829884,15.3414942,1
14903.59310913086,8621344954.344151,307.0368885,15.35184443,1
